customer_id,first_name,last_name,email,signup_date,region,city,state,zipcode,channel,acquisition_cost,is_active,churned_date
CUST_00001,Mark,Jackson,mark.jackson6233@gmail.com,2024-06-04,West,Seattle,WA,98453,Email,3.19,0,2024-07-19
CUST_00002,Daniel,Martinez,daniel.martinez5292@outlook.com,2024-11-22,East,New York,NY,10484,Organic,0.0,1,
CUST_00003,Mark,Davis,mark.davis9642@outlook.com,2024-06-01,North,Minneapolis,MN,55509,Organic,0.0,0,2024-07-01
CUST_00004,Daniel,Jackson,daniel.jackson8144@yahoo.com,2023-12-20,South,Atlanta,GA,31006,Paid,15.04,1,
CUST_00005,Michael,Williams,michael.williams3637@outlook.com,2023-12-06,East,Boston,MA,2152,Organic,0.0,1,
CUST_00006,Emily,Smith,emily.smith4620@icloud.com,2023-12-25,East,New York,NY,10256,Paid,23.46,1,
CUST_00007,Anthony,Jackson,anthony.jackson9568@gmail.com,2024-07-11,North,Minneapolis,MN,56161,Social,7.93,1,
CUST_00008,Daniel,Lopez,daniel.lopez4772@icloud.com,2024-11-22,North,Minneapolis,MN,55695,Email,3.13,1,
CUST_00009,Steven,Martinez,steven.martinez6486@yahoo.com,2024-01-13,South,Houston,TX,77658,Paid,21.55,1,
CUST_00010,Nancy,Martin,nancy.martin8113@gmail.com,2023-10-03,East,New York,NY,10269,Paid,14.15,0,2024-01-15
CUST_00011,Mark,Hernandez,mark.hernandez5843@gmail.com,2023-09-22,East,Boston,MA,2926,Organic,0.0,0,2024-06-09
CUST_00012,Jessica,Miller,jessica.miller879@icloud.com,2024-09-23,East,Boston,MA,2284,Organic,0.0,1,
CUST_00013,Patricia,Anderson,patricia.anderson7449@outlook.com,2024-11-07,East,Boston,MA,2681,Paid,14.32,1,
CUST_00014,Kimberly,Williams,kimberly.williams162@icloud.com,2023-05-12,East,New York,NY,10362,Email,3.52,1,
CUST_00015,Jennifer,Garcia,jennifer.garcia6897@outlook.com,2023-04-01,South,Atlanta,GA,30495,Paid,14.69,1,
CUST_00016,Michael,Jones,michael.jones8360@outlook.com,2024-05-25,North,Chicago,IL,61456,Organic,0.0,0,2024-07-11
CUST_00017,Amanda,Lopez,amanda.lopez6633@yahoo.com,2023-06-24,West,Seattle,WA,98356,Organic,0.0,0,2024-01-27
CUST_00018,James,Hernandez,james.hernandez7302@yahoo.com,2024-11-09,North,Minneapolis,MN,56193,Organic,0.0,1,
CUST_00019,Kimberly,Wilson,kimberly.wilson5063@outlook.com,2023-11-13,West,Seattle,WA,98926,Social,8.74,1,
CUST_00020,Michael,Moore,michael.moore596@gmail.com,2023-06-22,South,Houston,TX,77214,Email,2.18,1,
CUST_00021,Emily,Smith,emily.smith5093@gmail.com,2024-12-08,East,New York,NY,10229,Organic,0.0,1,
CUST_00022,Daniel,Williams,daniel.williams2647@outlook.com,2023-07-14,South,Houston,TX,77221,Social,8.56,1,
CUST_00023,Susan,Jones,susan.jones623@gmail.com,2023-11-03,East,Boston,MA,2488,Paid,21.64,0,2024-04-02
CUST_00024,Jennifer,Garcia,jennifer.garcia1199@outlook.com,2023-07-02,East,Boston,MA,2747,Organic,0.0,1,
CUST_00025,Mark,Anderson,mark.anderson3070@yahoo.com,2023-05-23,West,Seattle,WA,98949,Organic,0.0,1,
CUST_00026,Emily,Martin,emily.martin5513@gmail.com,2023-02-02,South,Houston,TX,77214,Paid,14.7,0,2024-03-05
CUST_00027,Mark,Hernandez,mark.hernandez297@yahoo.com,2023-03-19,West,Los Angeles,CA,90250,Email,2.19,1,
CUST_00028,Sarah,Taylor,sarah.taylor8520@gmail.com,2023-07-23,East,Boston,MA,2105,Social,8.99,0,2024-07-23
CUST_00029,Lisa,Martin,lisa.martin7987@outlook.com,2023-03-17,West,Seattle,WA,98310,Social,11.71,1,
CUST_00030,Emily,Lopez,emily.lopez6064@outlook.com,2024-05-22,South,Atlanta,GA,30997,Social,10.57,1,
CUST_00031,Steven,Davis,steven.davis7766@gmail.com,2024-08-03,South,Houston,TX,77281,Organic,0.0,1,
CUST_00032,Richard,Jackson,richard.jackson2433@icloud.com,2023-12-13,North,Chicago,IL,60662,Paid,17.77,1,
CUST_00033,Sarah,Williams,sarah.williams1065@gmail.com,2023-11-16,North,Chicago,IL,61041,Paid,13.38,0,2024-07-05
CUST_00034,Jessica,Miller,jessica.miller8945@icloud.com,2024-03-10,South,Atlanta,GA,30935,Paid,13.73,1,
CUST_00035,John,Hernandez,john.hernandez7657@outlook.com,2024-11-24,North,Minneapolis,MN,56146,Organic,0.0,1,
CUST_00036,James,Smith,james.smith5837@icloud.com,2024-11-17,East,New York,NY,10110,Organic,0.0,1,
CUST_00037,Mary,Brown,mary.brown1887@yahoo.com,2023-03-06,South,Houston,TX,77894,Organic,0.0,1,
CUST_00038,Mark,Jackson,mark.jackson3065@outlook.com,2023-07-30,West,Los Angeles,CA,90759,Paid,17.24,1,
CUST_00039,James,Hernandez,james.hernandez6277@icloud.com,2023-09-22,North,Minneapolis,MN,55556,Organic,0.0,0,2023-12-17
CUST_00040,Anthony,Johnson,anthony.johnson4131@gmail.com,2023-10-04,North,Chicago,IL,61121,Email,4.13,0,2024-01-27
CUST_00041,James,Brown,james.brown9329@yahoo.com,2024-05-06,North,Minneapolis,MN,56072,Paid,18.78,1,
CUST_00042,Matthew,Anderson,matthew.anderson8674@outlook.com,2023-12-22,South,Houston,TX,77873,Social,12.57,1,
CUST_00043,Laura,Rodriguez,laura.rodriguez7874@icloud.com,2023-03-12,East,Boston,MA,2942,Organic,0.0,0,2024-07-17
CUST_00044,Thomas,Miller,thomas.miller1589@gmail.com,2023-12-06,North,Minneapolis,MN,55432,Email,2.38,0,2024-06-17
CUST_00045,Joseph,Davis,joseph.davis2092@icloud.com,2024-03-26,South,Houston,TX,77110,Organic,0.0,1,
CUST_00046,John,Martinez,john.martinez4287@icloud.com,2023-05-08,East,Boston,MA,2565,Paid,20.27,1,
CUST_00047,Patricia,Moore,patricia.moore6844@icloud.com,2024-11-12,North,Minneapolis,MN,56049,Organic,0.0,1,
CUST_00048,Emily,Thomas,emily.thomas4351@outlook.com,2023-03-15,West,Seattle,WA,98127,Organic,0.0,0,2024-08-02
CUST_00049,William,Jackson,william.jackson2256@outlook.com,2024-12-09,South,Atlanta,GA,31185,Organic,0.0,1,
CUST_00050,Michael,Davis,michael.davis9631@gmail.com,2023-05-06,South,Atlanta,GA,31196,Email,2.52,1,
CUST_00051,Mark,Taylor,mark.taylor3662@yahoo.com,2024-11-15,North,Minneapolis,MN,55699,Organic,0.0,1,
CUST_00052,James,Thomas,james.thomas6660@icloud.com,2024-12-03,West,Los Angeles,CA,90867,Email,3.85,1,
CUST_00053,David,Davis,david.davis6865@yahoo.com,2024-12-25,West,Seattle,WA,98547,Paid,17.52,1,
CUST_00054,Elizabeth,Brown,elizabeth.brown9879@yahoo.com,2024-11-02,North,Chicago,IL,60994,Email,2.93,1,
CUST_00055,Emily,Wilson,emily.wilson5993@yahoo.com,2024-10-19,South,Houston,TX,77857,Organic,0.0,1,
CUST_00056,Elizabeth,Martinez,elizabeth.martinez1354@outlook.com,2024-07-03,South,Atlanta,GA,30617,Social,10.98,1,
CUST_00057,Robert,Garcia,robert.garcia6330@gmail.com,2024-10-19,South,Atlanta,GA,30866,Paid,21.14,1,
CUST_00058,Mary,Jones,mary.jones7559@icloud.com,2023-06-12,North,Minneapolis,MN,56055,Email,3.76,1,
CUST_00059,James,Garcia,james.garcia568@gmail.com,2024-04-06,South,Houston,TX,77078,Social,12.29,1,
CUST_00060,Steven,Rodriguez,steven.rodriguez7951@outlook.com,2024-03-18,North,Minneapolis,MN,56073,Organic,0.0,1,
CUST_00061,Jessica,Thomas,jessica.thomas2487@yahoo.com,2024-11-19,West,Seattle,WA,98311,Organic,0.0,1,
CUST_00062,Susan,Lopez,susan.lopez2105@outlook.com,2024-01-24,South,Atlanta,GA,30460,Email,3.07,0,2024-03-01
CUST_00063,Kimberly,Moore,kimberly.moore8939@outlook.com,2023-12-10,North,Chicago,IL,61077,Organic,0.0,0,2024-01-11
CUST_00064,Emily,Wilson,emily.wilson9531@gmail.com,2024-07-01,South,Atlanta,GA,30966,Social,12.28,1,
CUST_00065,Jennifer,Rodriguez,jennifer.rodriguez6209@icloud.com,2023-10-21,North,Chicago,IL,61371,Organic,0.0,1,
CUST_00066,Robert,Brown,robert.brown8605@yahoo.com,2023-06-17,South,Atlanta,GA,30803,Organic,0.0,0,2024-06-28
CUST_00067,James,Wilson,james.wilson8776@icloud.com,2024-02-11,East,New York,NY,10557,Email,4.03,1,
CUST_00068,Kimberly,Johnson,kimberly.johnson1349@icloud.com,2023-12-22,South,Houston,TX,77682,Organic,0.0,0,2024-05-19
